eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.00000  0.00000  300.0    2.0      0.00000  0.00000  301.3    299.3    0.69700  0.00000 
0.00057  0.00100  328.1    86.2     0.00119  -0.00031 385.5    299.3    0.69603  0.00000 
0.00114  0.00200  356.1    170.4    0.00238  -0.00062 469.8    299.3    0.69506  0.00000 
0.00171  0.00300  384.2    254.6    0.00357  -0.00093 554.0    299.3    0.69409  0.00000 
0.00229  0.00400  412.3    338.9    0.00476  -0.00124 638.2    299.3    0.69312  0.00000 
0.00286  0.00500  440.4    423.1    0.00595  -0.00155 722.4    299.3    0.69216  0.00000 
0.00343  0.00600  468.4    507.3    0.00714  -0.00186 806.6    299.3    0.69119  0.00000 
0.00400  0.00700  496.5    591.5    0.00833  -0.00217 890.8    299.3    0.69022  0.00000 
0.00457  0.00800  524.6    675.7    0.00952  -0.00248 975.1    299.3    0.68926  0.00000 
0.00514  0.00900  552.6    759.9    0.01071  -0.00279 1059.3   299.3    0.68829  0.00000 
0.00571  0.01000  580.7    844.2    0.01190  -0.00310 1143.5   299.3    0.68733  0.00000 
0.00629  0.01100  608.8    928.4    0.01310  -0.00340 1227.7   299.3    0.68636  0.00000 
0.00686  0.01200  636.9    1012.6   0.01429  -0.00371 1311.9   299.3    0.68540  0.00000 
0.00743  0.01300  664.9    1096.8   0.01548  -0.00402 1396.1   299.3    0.68444  0.00000 
0.00800  0.01400  693.0    1181.0   0.01667  -0.00433 1480.4   299.3    0.68347  0.00000 
0.00857  0.01500  721.1    1265.2   0.01786  -0.00464 1564.6   299.3    0.68251  0.00000 
0.00797  0.01600  721.1    1265.2   0.01866  -0.00534 1564.6   299.3    0.68353  0.00000 
0.00737  0.01700  721.1    1265.2   0.01946  -0.00604 1564.6   299.3    0.68454  0.00000 
0.00676  0.01800  721.1    1265.2   0.02025  -0.00675 1564.6   299.3    0.68556  0.00000 
0.00616  0.01900  721.1    1265.2   0.02105  -0.00745 1564.6   299.3    0.68657  0.00000 
0.00556  0.02000  721.1    1265.2   0.02185  -0.00815 1564.6   299.3    0.68759  0.00000 
0.00495  0.02100  721.1    1265.2   0.02265  -0.00885 1564.6   299.3    0.68861  0.00000 
0.00435  0.02200  721.1    1265.2   0.02345  -0.00955 1564.6   299.3    0.68963  0.00000 
0.00375  0.02300  721.1    1265.2   0.02425  -0.01025 1564.6   299.3    0.69065  0.00000 
0.00314  0.02400  721.1    1265.2   0.02505  -0.01095 1564.6   299.3    0.69167  0.00000 
0.00254  0.02500  721.1    1265.2   0.02585  -0.01165 1564.6   299.3    0.69269  0.00000 
0.00194  0.02600  721.1    1265.2   0.02665  -0.01235 1564.6   299.3    0.69371  0.00000 
0.00134  0.02700  721.1    1265.2   0.02745  -0.01305 1564.6   299.3    0.69473  0.00000 
0.00073  0.02800  721.1    1265.2   0.02824  -0.01376 1564.6   299.3    0.69575  0.00000 
0.00013  0.02900  721.1    1265.2   0.02904  -0.01446 1564.6   299.3    0.69677  0.00000 
-0.00047 0.03000  721.1    1265.2   0.02984  -0.01516 1564.6   299.3    0.69779  0.00000 
-0.00108 0.03100  721.1    1265.2   0.03064  -0.01586 1564.6   299.3    0.69882  0.00000 
-0.00168 0.03200  721.1    1265.2   0.03144  -0.01656 1564.6   299.3    0.69984  0.00000 
-0.00228 0.03300  721.1    1265.2   0.03224  -0.01726 1564.6   299.3    0.70087  0.00000 
-0.00289 0.03400  721.1    1265.2   0.03304  -0.01796 1564.6   299.3    0.70189  0.00000 
-0.00349 0.03500  721.1    1265.2   0.03384  -0.01866 1564.6   299.3    0.70292  0.00000 
-0.00409 0.03600  721.1    1265.2   0.03464  -0.01936 1564.6   299.3    0.70395  0.00000 
-0.00469 0.03700  721.1    1265.2   0.03544  -0.02006 1564.6   299.3    0.70497  0.00000 
-0.00530 0.03800  721.1    1265.2   0.03623  -0.02077 1564.6   299.3    0.70600  0.00000 
-0.00590 0.03900  721.1    1265.2   0.03703  -0.02147 1564.6   299.3    0.70703  0.00000 
-0.00650 0.04000  721.1    1265.2   0.03783  -0.02217 1564.6   299.3    0.70806  0.00000 
-0.00711 0.04100  721.1    1265.2   0.03863  -0.02287 1564.6   299.3    0.70909  0.00000 
-0.00771 0.04200  721.1    1265.2   0.03943  -0.02357 1564.6   299.3    0.71012  0.00000 
