# eps_a [-]	eps_v [-]
3.46945E-18	0
0.00108659	0.0010728
0.00217317	0.00187739
0.00339559	0.00295019
0.00448217	0.00375479
0.00556876	0.00455939
0.00665535	0.00554278
0.00814941	0.00670498
0.00977929	0.00804598
0.0107301	0.00902937
0.0119525	0.00983397
0.013854	0.0114432
0.0154839	0.0126948
0.0168421	0.0135888
0.018472	0.0149298
0.019966	0.0157344
0.0217317	0.0168966
0.0232258	0.0178799
0.0249915	0.0189527
0.026893	0.0201149
0.0287946	0.0211877
0.0306961	0.0220817
0.0331409	0.0232439
0.0359932	0.0245849
0.038438	0.0256577
0.0410187	0.0266411
0.0441426	0.0278033
0.0471307	0.0287867
0.0502547	0.0298595
0.0565025	0.0316475
0.0608489	0.0327203
0.0657385	0.0338825
0.0702207	0.0346871
0.0745671	0.0354917
0.0791851	0.0360281
0.0836672	0.0368327
0.0884211	0.0373691
0.093039	0.0378161
0.0965705	0.0379055
0.10146	0.0382631
0.104312	0.0385313
0.108523	0.0387101
0.113413	0.0388889
0.116401	0.0389783
0.120611	0.0391571
0.124958	0.0392465
0.129168	0.0392465
0.132835	0.0394253
0.135959	0.0394253
0.139762	0.0395147
0.14438	0.0392465
0.148183	0.0390677
0.151307	0.0393359
