# eps_a [-]	q [kPa]
0	0
0.00058129	15.3453
0.00101726	24.5524
0.000145322	36.8286
0.00116258	44.5013
0.00217984	59.8465
0.00276113	69.0537
0.00392371	81.3299
0.00494096	92.0716
0.00566757	101.279
0.00697548	110.486
0.00784741	119.693
0.00959128	130.435
0.0110445	141.176
0.0123524	145.78
0.013079	151.918
0.013951	156.522
0.0148229	161.125
0.0158401	168.798
0.0167121	171.867
0.017584	176.471
0.0184559	182.609
0.0194732	188.747
0.0206358	193.35
0.021653	197.954
0.0226703	205.627
0.0239782	210.23
0.0252861	217.903
0.0267393	225.575
0.0283379	231.714
0.0297911	237.852
0.0312443	242.455
0.0328429	248.593
0.0342961	256.266
0.03604	262.404
0.0382198	271.611
0.0403996	279.284
0.0427248	285.422
0.04505	294.629
0.0478111	300.767
0.0499909	308.44
0.0524614	314.578
0.0552225	319.182
0.0569664	323.785
0.0591462	331.458
0.0619074	336.061
0.0646685	343.734
0.0672843	351.407
0.0706267	359.079
0.0741144	363.683
0.0777475	368.286
0.0818165	375.959
0.0858856	380.563
0.0902452	386.701
0.0950409	391.304
0.0995459	397.442
0.104196	402.046
0.109282	405.115
0.114223	409.719
0.119164	411.253
