eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.00000  0.00000  300.0    0.0      0.00000  0.00000  300.0    0.0      0.75000  300.00000
0.01434  0.00100  410.7    332.0    0.00578  0.00428  632.0    300.0    0.72491  410.67568
0.01561  0.00200  414.9    344.6    0.00720  0.00420  644.6    300.0    0.72271  424.68983
0.01683  0.00300  418.9    356.8    0.00861  0.00411  656.8    300.0    0.72062  438.45912
0.01798  0.00400  422.9    368.7    0.00999  0.00399  668.7    300.0    0.71863  451.99460
0.01909  0.00500  426.8    380.3    0.01136  0.00386  680.3    300.0    0.71673  465.30548
0.02015  0.00600  430.5    391.5    0.01272  0.00372  691.5    300.0    0.71491  478.39959
0.02116  0.00700  434.2    402.5    0.01405  0.00355  702.5    300.0    0.71317  491.28361
0.02213  0.00800  437.7    413.2    0.01538  0.00338  713.2    300.0    0.71150  503.96332
0.02307  0.00900  441.2    423.7    0.01669  0.00319  723.7    300.0    0.70990  516.44382
0.02397  0.01000  444.6    433.9    0.01799  0.00299  733.9    300.0    0.70837  528.72959
0.02483  0.01100  448.0    443.9    0.01928  0.00278  743.9    300.0    0.70689  540.82464
0.02567  0.01200  451.2    453.7    0.02056  0.00256  753.7    300.0    0.70547  552.73262
0.02647  0.01300  454.4    463.2    0.02182  0.00232  763.2    300.0    0.70409  564.45684
0.02725  0.01400  457.5    472.5    0.02308  0.00208  772.5    300.0    0.70277  576.00034
0.02800  0.01500  460.6    481.7    0.02433  0.00183  781.7    300.0    0.70149  587.36598
0.02872  0.01600  463.5    490.6    0.02557  0.00157  790.6    300.0    0.70026  598.55642
0.02942  0.01700  466.5    499.4    0.02681  0.00131  799.4    300.0    0.69907  609.57416
0.03010  0.01800  469.3    508.0    0.02803  0.00103  808.0    300.0    0.69792  620.42159
0.03076  0.01900  472.1    516.4    0.02925  0.00075  816.4    300.0    0.69680  631.10101
0.03139  0.02000  474.9    524.6    0.03046  0.00046  824.6    300.0    0.69573  641.61461
0.03201  0.02100  477.6    532.7    0.03167  0.00017  832.7    300.0    0.69468  651.96452
0.03261  0.02200  480.2    540.6    0.03287  -0.00013 840.6    300.0    0.69367  662.15283
0.03319  0.02300  482.8    548.4    0.03406  -0.00044 848.4    300.0    0.69269  672.18154
0.03375  0.02400  485.3    556.0    0.03525  -0.00075 856.0    300.0    0.69174  682.05264
0.03429  0.02500  487.8    563.4    0.03643  -0.00107 863.4    300.0    0.69081  691.76807
0.03482  0.02600  490.2    570.7    0.03761  -0.00139 870.7    300.0    0.68992  701.32975
0.03534  0.02700  492.6    577.9    0.03878  -0.00172 877.9    300.0    0.68905  710.73956
0.03584  0.02800  495.0    584.9    0.03995  -0.00205 884.9    300.0    0.68820  719.99938
0.03632  0.02900  497.3    591.8    0.04111  -0.00239 891.8    300.0    0.68738  729.11106
0.03680  0.03000  499.5    598.6    0.04227  -0.00273 898.6    300.0    0.68659  738.07642
0.03726  0.03100  501.7    605.2    0.04342  -0.00308 905.2    300.0    0.68581  746.89728
0.03770  0.03200  503.9    611.7    0.04457  -0.00343 911.7    300.0    0.68506  755.57546
0.03814  0.03300  506.0    618.1    0.04571  -0.00379 918.1    300.0    0.68432  764.11274
