eps_p    eps_q    p        q        eps_1    eps_2    sigma_1  sigma_2  epor     stateVar2
0.00000  0.00000  450.0    0.0      0.00000  0.00000  450.0    0.0      0.76000  450.00000
0.01434  0.00100  617.0    500.9    0.00578  0.00428  950.9    450.0    0.73477  616.96216
0.01561  0.00200  623.3    519.8    0.00720  0.00420  969.8    450.0    0.73257  638.05236
0.01682  0.00300  629.4    538.1    0.00861  0.00411  988.1    450.0    0.73047  658.77733
0.01797  0.00400  635.3    556.0    0.00999  0.00399  1006.0   450.0    0.72847  679.15304
0.01907  0.00500  641.1    573.3    0.01136  0.00386  1023.3   450.0    0.72657  699.19284
0.02012  0.00600  646.7    590.2    0.01271  0.00371  1040.2   450.0    0.72475  718.90804
0.02114  0.00700  652.2    606.7    0.01405  0.00355  1056.7   450.0    0.72301  738.30835
0.02210  0.00800  657.6    622.8    0.01537  0.00337  1072.8   450.0    0.72134  757.40215
0.02304  0.00900  662.8    638.5    0.01668  0.00318  1088.5   450.0    0.71973  776.19682
0.02393  0.01000  668.0    653.9    0.01798  0.00298  1103.9   450.0    0.71819  794.69888
0.02479  0.01100  673.0    668.9    0.01926  0.00276  1118.9   450.0    0.71671  812.91418
0.02562  0.01200  677.8    683.5    0.02054  0.00254  1133.5   450.0    0.71529  830.84802
0.02643  0.01300  682.6    697.9    0.02181  0.00231  1147.9   450.0    0.71391  848.50523
0.02720  0.01400  687.3    711.9    0.02307  0.00207  1161.9   450.0    0.71259  865.89028
0.02795  0.01500  691.9    725.7    0.02432  0.00182  1175.7   450.0    0.71131  883.00732
0.02867  0.01600  696.4    739.1    0.02556  0.00156  1189.1   450.0    0.71007  899.86027
0.02936  0.01700  700.8    752.3    0.02679  0.00129  1202.3   450.0    0.70888  916.45281
0.03004  0.01800  705.1    765.2    0.02801  0.00101  1215.2   450.0    0.70773  932.78846
0.03069  0.01900  709.3    777.8    0.02923  0.00073  1227.8   450.0    0.70661  948.87061
0.03133  0.02000  713.4    790.2    0.03044  0.00044  1240.2   450.0    0.70553  964.70251
0.03194  0.02100  717.5    802.4    0.03165  0.00015  1252.4   450.0    0.70448  980.28732
0.03253  0.02200  721.4    814.2    0.03284  -0.00016 1264.2   450.0    0.70347  995.62812
0.03311  0.02300  725.3    825.9    0.03404  -0.00046 1275.9   450.0    0.70249  1010.72792
0.03367  0.02400  729.1    837.3    0.03522  -0.00078 1287.3   450.0    0.70153  1025.58966
0.03421  0.02500  732.8    848.5    0.03640  -0.00110 1298.5   450.0    0.70061  1040.21625
0.03474  0.02600  736.5    859.5    0.03758  -0.00142 1309.5   450.0    0.69971  1054.61055
0.03525  0.02700  740.1    870.3    0.03875  -0.00175 1320.3   450.0    0.69884  1068.77540
0.03575  0.02800  743.6    880.9    0.03992  -0.00208 1330.9   450.0    0.69800  1082.71358
0.03623  0.02900  747.1    891.2    0.04108  -0.00242 1341.2   450.0    0.69718  1096.42789
0.03670  0.03000  750.5    901.4    0.04223  -0.00277 1351.4   450.0    0.69638  1109.92106
0.03716  0.03100  753.8    911.3    0.04339  -0.00311 1361.3   450.0    0.69560  1123.19585
0.03761  0.03200  757.0    921.1    0.04454  -0.00346 1371.1   450.0    0.69485  1136.25496
0.03804  0.03300  760.2    930.7    0.04568  -0.00382 1380.7   450.0    0.69412  1149.10111
0.03846  0.03400  763.4    940.1    0.04682  -0.00418 1390.1   450.0    0.69340  1161.73698
0.03887  0.03500  766.4    949.3    0.04796  -0.00454 1399.3   450.0    0.69271  1174.16526
0.03927  0.03600  769.5    958.4    0.04909  -0.00491 1408.4   450.0    0.69203  1186.38861
0.03966  0.03700  772.4    967.3    0.05022  -0.00528 1417.3   450.0    0.69138  1198.40969
0.04004  0.03800  775.3    976.0    0.05135  -0.00565 1426.0   450.0    0.69073  1210.23113
0.04041  0.03900  778.2    984.5    0.05247  -0.00603 1434.5   450.0    0.69011  1221.85557
0.04076  0.04000  781.0    992.9    0.05359  -0.00641 1442.9   450.0    0.68950  1233.28563
0.04111  0.04100  783.7    1001.1   0.05470  -0.00680 1451.1   450.0    0.68891  1244.52392
0.04146  0.04200  786.4    1009.2   0.05582  -0.00718 1459.2   450.0    0.68834  1255.57302
0.04179  0.04300  789.0    1017.1   0.05693  -0.00757 1467.1   450.0    0.68777  1266.43552
0.04211  0.04400  791.6    1024.9   0.05804  -0.00796 1474.9   450.0    0.68723  1277.11398
0.04243  0.04500  794.2    1032.5   0.05914  -0.00836 1482.5   450.0    0.68669  1287.61096
0.04274  0.04600  796.7    1040.0   0.06025  -0.00875 1490.0   450.0    0.68617  1297.92900
0.04304  0.04700  799.1    1047.3   0.06135  -0.00915 1497.3   450.0    0.68566  1308.07062
0.04333  0.04800  801.5    1054.5   0.06244  -0.00956 1504.5   450.0    0.68517  1318.03832
0.04362  0.04900  803.9    1061.6   0.06354  -0.00996 1511.6   450.0    0.68469  1327.83459
0.04390  0.05000  806.2    1068.5   0.06463  -0.01037 1518.5   450.0    0.68422  1337.46192
0.04417  0.05100  808.4    1075.3   0.06572  -0.01078 1525.3   450.0    0.68376  1346.92274
0.04444  0.05200  810.7    1082.0   0.06681  -0.01119 1532.0   450.0    0.68331  1356.21951
0.04470  0.05300  812.8    1088.5   0.06790  -0.01160 1538.5   450.0    0.68287  1365.35465
0.04495  0.05400  815.0    1094.9   0.06898  -0.01202 1544.9   450.0    0.68244  1374.33054
0.04520  0.05500  817.1    1101.2   0.07007  -0.01243 1551.2   450.0    0.68202  1383.14958
0.04544  0.05600  819.1    1107.4   0.07115  -0.01285 1557.4   450.0    0.68162  1391.81412
0.04568  0.05700  821.2    1113.5   0.07223  -0.01327 1563.5   450.0    0.68122  1400.32650
0.04591  0.05800  823.1    1119.4   0.07330  -0.01370 1569.4   450.0    0.68083  1408.68904
